movie,genre,runtime,certificate,rating,stars,description,votes,director
Unspeakable,Drama            ,47 min,,5.8,"['Indira Varma, ', 'Luke Treadaway, ', 'Kate Ashfield, ', 'Neil Maskell', '']","A single mum receives an anonymous text message, claiming her new boyfriend is having an inappropriate relationship with her 11 year old daughter. Over one weekend the accusation fractures the relationship between the couple.",567,['David Nath']
The Swimmer,Drama            ,95 min,M/PG,7.6,"['Burt Lancaster, ', 'Janet Landgard, ', 'Janice Rule, ', 'Tony Bickley', '']",A man spends a summer day swimming as many pools as he can all over a quiet suburban town.,"12,858",
The Help,Drama            ,146 min,UA,8.1,"['Viola Davis, ', 'Emma Stone, ', 'Octavia Spencer, ', 'Bryce Dallas Howard', '']","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",$169.71M,['Tate Taylor']
Nymphomaniac: Vol. I,Drama            ,117 min,Not Rated,6.9,"['Charlotte Gainsbourg, ', 'Stellan Skarsgård, ', 'Stacy Martin, ', 'Shia LaBeouf', '']",A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.,$0.79M,['Lars von Trier']
Pretty Baby,Drama            ,110 min,A,6.5,"['Brooke Shields, ', 'Keith Carradine, ', 'Susan Sarandon, ', 'Frances Faye', '']",A preteen girl lives as a prostitute in New Orleans in 1917.,$5.79M,['Louis Malle']
Druk,Drama            ,117 min,16,7.7,"['Mads Mikkelsen, ', 'Thomas Bo Larsen, ', 'Magnus Millang, ', 'Lars Ranthe', '']",Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.,"1,77,928",['Thomas Vinterberg']
The Resident,Drama            ,60 min,15+,7.8,"['Matt Czuchry, ', 'Manish Dayal, ', 'Bruce Greenwood, ', 'Malcolm-Jamal Warner', '']",A group of doctors at Chastain Memorial Hospital face personal and professional challenges on a daily basis.,"29,588",
A Good Person,Drama            ,128 min,R,7,"['Florence Pugh, ', 'Morgan Freeman, ', ""Celeste O'Connor, "", 'Molly Shannon', '']","Follows Allison, whose life falls apart following her involvement in a fatal accident.","12,072",['Zach Braff']
Dopesick,Drama            ,492 min,18,8.6,"['Michael Keaton, ', 'Peter Sarsgaard, ', 'Michael Stuhlbarg, ', 'Will Poulter', '']","The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA.","66,117",
Boogie Nights,Drama            ,155 min,18,7.9,"['Mark Wahlberg, ', 'Julianne Moore, ', 'Burt Reynolds, ', 'Luis Guzmán', '']","Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",$26.40M,['Paul Thomas Anderson']
The Perks of Being a Wallflower,Drama            ,103 min,UA,7.9,"['Logan Lerman, ', 'Emma Watson, ', 'Ezra Miller, ', 'Paul Rudd', '']","Charlie, a 15-year-old introvert, enters high school and is nervous about his new life. When he befriends his seniors, he learns to cope with his friend's suicide and his tumultuous past.",$17.74M,['Stephen Chbosky']
The Fallout,Drama            ,96 min,A,7,"['Jenna Ortega, ', 'Maddie Ziegler, ', 'Niles Fitch, ', 'Will Ropp', '']","High schooler Vada navigates the emotional fallout she experiences in the wake of a school tragedy. Relationships with her family, friends and view of the world are forever altered.","29,401",['Megan Park']
Skins,Drama            ,46 min,UA,8.2,"['Kaya Scodelario, ', 'Nicholas Hoult, ', 'Joe Dempsie, ', 'Hannah Murray', '']",The story of a group of British teens who are trying to grow up and find love and happiness despite questionable parenting and teachers who would rather be friends (and lovers) than authority figures.,"89,208",
Rain Man,Drama            ,133 min,U,8,"['Dustin Hoffman, ', 'Tom Cruise, ', 'Valeria Golino, ', 'Gerald R. Molen', '']","After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.",$178.80M,['Barry Levinson']
Showgirls,Drama            ,128 min,A,5,"['Elizabeth Berkley, ', 'Kyle MacLachlan, ', 'Gina Gershon, ', 'Glenn Plummer', '']","Carefree young drifter Nomi arrives in Las Vegas, Nevada to become a dancer and sets about clawing her way to the top of the Vegas showgirls.",$20.30M,['Paul Verhoeven']
Last Summer,Drama            ,95 min,,6.9,"['Barbara Hershey, ', 'Richard Thomas, ', 'Bruce Davison, ', 'Catherine Burns', '']","During summer vacation on Fire Island, three young people become very close. When an uncool girl tries to infiltrate the trio's newly found relationship, they construct an elaborate plot that has violent results.",$2.37M,['Frank Perry']
Manchester by the Sea,Drama            ,137 min,UA,7.8,"['Casey Affleck, ', 'Michelle Williams, ', 'Kyle Chandler, ', 'Lucas Hedges', '']",A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,$47.70M,['Kenneth Lonergan']
Trainspotting,Drama            ,93 min,A,8.1,"['Ewan McGregor, ', 'Ewen Bremner, ', 'Jonny Lee Miller, ', 'Kevin McKidd', '']","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",$16.50M,['Danny Boyle']
The Newsroom,Drama            ,55 min,15+,8.6,"['Jeff Daniels, ', 'Emily Mortimer, ', 'John Gallagher Jr., ', 'Alison Pill', '']","A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.","1,20,491",
Thirteen,Drama            ,100 min,15+,6.8,"['Evan Rachel Wood, ', 'Holly Hunter, ', 'Nikki Reed, ', 'Vanessa Hudgens', '']","A thirteen-year-old girl's relationship with her mother is put to the test as she discovers drugs, sex, and petty crime in the company of her cool but troubled best friend.",$4.60M,['Catherine Hardwicke']
Kaalkoot,Drama            ,,,8.7,"['Rohan Verma, ', 'Vijay Varma, ', 'Shweta Tripathi, ', 'Suzanna Mukherjee', '']","A police officer must deal with society's and his mother's pressure to marry, as well as frequent bullying and pressure from his superiors.","4,514",
Goliath,Drama            ,60 min,18+,8.1,"['Billy Bob Thornton, ', 'Nina Arianda, ', 'Tania Raymonde, ', 'Diana Hopper', '']","A disgraced lawyer, now an ambulance chaser, gets a case that could bring him redemption or at least revenge on the firm which expelled him.","51,684",
Living,Drama            ,102 min,PG-13,7.3,"['Bill Nighy, ', 'Aimee Lou Wood, ', 'Alex Sharp, ', 'Adrian Rawlins', '']","In 1950s London, a humorless bureaucrat decides to take time off work to experience life after receiving a grim diagnosis.","24,130",['Oliver Hermanus']
Pleasure,Drama            ,109 min,R,6.4,"['Sofia Kappel, ', 'Zelda Morrison, ', 'Evelyn Claire, ', 'Chris Cock', '']","Bella Cherry arrives in Los Angeles with dreams of becoming an adult film star, but she soon learns that fame won't come easy as she harnesses her ambition and cunning to rise to the top of this mesmerizing and singular world.","20,174",['Ninja Thyberg']
Suits,Drama            ,40 min,UA 16+,7.4,"['Asser Yassin, ', 'Ahmed Dawood, ', 'Mohamed Shahin, ', 'Saba Mubarak', '']","Within the framework of the drama, the series deals with the story of Adam, who by chance turns into a lawyer in a large law firm when he reveals his secret to lawyer Zain, and together the duo handle many thorny cases.",582,
Big Love,Drama            ,60 min,,7.7,"['Bill Paxton, ', 'Jeanne Tripplehorn, ', 'Chloë Sevigny, ', 'Ginnifer Goodwin', '']",A Utah polygamist who owns home improvement stores in the Salt Lake City area juggles relationships with three wives while trying to keep his complex family life from becoming a public scandal.,"22,649",
The Great Escaper,Drama            ,,,,"['Michael Caine, ', 'Glenda Jackson, ', 'John Standing, ', 'Laura Marcus', '']",Bernard Jordan escapes from his care home to attend the 70th Anniversary of the D-Day Landings in France.,,['Oliver Parker']
Close,Drama            ,104 min,PG-13,7.8,"['Eden Dambrine, ', 'Gustav De Waele, ', 'Émilie Dequenne, ', 'Léa Drucker', '']","The intense friendship between two thirteen-year old boys Leo and Remi suddenly gets disrupted. Struggling to understand what has happened, Léo approaches Sophie, Rémi's mother. ""Close"" is a film about friendship and responsibility.","25,996",['Lukas Dhont']
Fleishman Is in Trouble,Drama            ,48 min,A,7.7,"['Jesse Eisenberg, ', 'Claire Danes, ', 'Lizzy Caplan, ', 'Adam Brody', '']","Toby Fleishman knew what to expect when he and his wife of almost 15 years separated: weekends and every other holiday with the kids, some residual bitterness, and the occasional moment of tension in their co-parenting negotiations.","13,033",
Fire Country,Drama            ,44 min,,7.2,"['Max Thieriot, ', 'Kevin Alejandro, ', 'Jordan Calloway, ', 'Stephanie Arcila', '']",A young convict joins a firefighting program looking for redemption and a shortened prison sentence. He and other inmates work alongside elite firefighters to extinguish massive blazes across the region.,"6,563",
Knokke Off,Drama            ,,,7.7,"['Pommelien Thijs, ', 'Willem De Schryver, ', 'Eliyha Altena, ', 'Anna Drijver', '']","Follows a group of teenagers as they spend the summer at the Belgian seaside while searching for love, friendship and most importantly, for themselves.",568,
Reality,Drama            ,83 min,,6.7,"['Sydney Sweeney, ', 'Josh Hamilton, ', 'Marchánt Davis, ', 'Benny Elledge', '']",A former American intelligence specialist was given the longest sentence for the unauthorized release of government information to the media about Russian interference in the 2016 United States elections via an email operation.,"9,977",['Tina Satter']
The Son,Drama            ,123 min,PG-13,6.4,"['Vanessa Kirby, ', 'Felix Goddard, ', 'Max Goddard, ', 'Hugh Jackman', '']","Peter has his busy life with new partner Beth and their baby thrown into disarray when his ex-wife Kate turns up with their teenage son, Nicholas.","11,739",['Florian Zeller']
Scent of a Woman,Drama            ,156 min,UA,8,"['Al Pacino, ', ""Chris O'Donnell, "", 'James Rebhorn, ', 'Gabrielle Anwar', '']","A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",$63.90M,['Martin Brest']
Maid,Drama            ,545 min,18,8.4,"['Margaret Qualley, ', 'Nick Robinson, ', 'Rylea Nevaeh Whittet, ', 'Andie MacDowell', '']","After fleeing an abusive relationship, a young mother finds a job cleaning houses as she fights to provide for her child and build them a better future.","91,814",
Magnolia,Drama            ,188 min,UA,8,"['Tom Cruise, ', 'Jason Robards, ', 'Julianne Moore, ', 'Philip Seymour Hoffman', '']","An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley.",$22.46M,['Paul Thomas Anderson']
An Cailín Ciúin,Drama            ,95 min,PG-13,7.7,"['Carrie Crowley, ', 'Andrew Bennett, ', 'Catherine Clinch, ', 'Michael Patric', '']","Rural Ireland 1981. A quiet, neglected girl is sent away from her dysfunctional family to live with foster parents for the summer. She blossoms in their care, but in this house where there are meant to be no secrets, she discovers one.","15,572",['Colm Bairéad']
Y tu mamá también,Drama            ,106 min,A,7.7,"['Maribel Verdú, ', 'Gael García Bernal, ', 'Daniel Giménez Cacho, ', 'Ana López Mercado', '']","In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",$13.62M,['Alfonso Cuarón']
The Gilded Age,Drama            ,81 min,UA 13+,8,"['Ben Ahlers, ', 'Celia Keenan-Bolger, ', 'Debra Monk, ', ""Kelli O'Hara"", '']","A wide-eyed young scion of a conservative family embarks on a mission to infiltrate the wealthy neighboring clan dominated by ruthless railroad tycoon George Russell, his rakish son, Larry, and his ambitious wife, Bertha.","27,061",
Women Talking,Drama            ,104 min,PG-13,6.9,"['Rooney Mara, ', 'Claire Foy, ', 'Jessie Buckley, ', 'Frances McDormand', '']","Do nothing, stay and fight, or leave. In 2010, the women of an isolated religious community grapple with reconciling a brutal reality with their faith.","32,837",['Sarah Polley']
Jesus Revolution,Drama            ,120 min,PG-13,7.1,"['Joel Courtney, ', 'Jonathan Roumie, ', 'Kimberly Williams-Paisley, ', 'Anna Grace Barlow', '']",The true story of a national spiritual awakening in the early 1970s and its origins within a community of teenage hippies in Southern California.,"9,161",
Brothers & Sisters,Drama            ,60 min,UA,7.4,"['Dave Annable, ', 'Calista Flockhart, ', 'Rachel Griffiths, ', 'Ron Rifkin', '']",The story of the drama surrounding a family's adult siblings.,"24,871",
Moonlight,Drama            ,111 min,A,7.4,"['Mahershala Ali, ', 'Naomie Harris, ', 'Trevante Rhodes, ', 'Alex R. Hibbert', '']","A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",$27.85M,['Barry Jenkins']
Portrait de la jeune fille en feu,Drama            ,122 min,18,8.1,"['Noémie Merlant, ', 'Adèle Haenel, ', 'Luàna Bajrami, ', 'Valeria Golino', '']","On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",$3.76M,['Céline Sciamma']
Crash,Drama            ,100 min,Not Rated,6.4,"['James Spader, ', 'Holly Hunter, ', 'Elias Koteas, ', 'Deborah Kara Unger', '']","After getting into a serious car accident, a TV director discovers an underground sub-culture of scarred, omnisexual car-crash victims who use car accidents and the raw sexual energy they produce to try to rejuvenate his sex life with his wife.",$2.04M,['David Cronenberg']
Bones of Crows,Drama            ,124 min,,6.5,"['Grace Dove, ', 'Phillip Forest Lewitski, ', 'Rémy Girard, ', 'Karine Vanasse', '']","Cree code talker Aline Spears survives her traumatic past in Canada's residential school system to continue her family's generational fight against systemic starvation, racism and sexual abuse.",290,['Marie Clements']
Prisoner's Daughter,Drama            ,100 min,R,6.4,"['Sarah Anderson, ', 'Maynard Bagang, ', 'Kate Beckinsale, ', 'Christopher Convery', '']","A father fights for the love of his daughter and grandson, after serving twelve years in prison.",837,['Catherine Hardwicke']
Capharnaüm,Drama            ,126 min,A,8.4,"['Zain Al Rafeea, ', 'Yordanos Shiferaw, ', 'Boluwatife Treasure Bankole, ', 'Kawsar Al Haddad', '']","While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",$1.66M,['Nadine Labaki']
Dronningen,Drama            ,127 min,18,7.1,"['Trine Dyrholm, ', 'Gustav Lindh, ', 'Magnus Krepper, ', 'Liv Esmår Dannemann', '']",A successful lawyer jeopardizes her career and threatens to tear her family apart after engaging in an affair with her teenage stepson.,"13,033",['May el-Toukhy']
Midnight Cowboy,Drama            ,113 min,A,7.8,"['Dustin Hoffman, ', 'Jon Voight, ', 'Sylvia Miles, ', 'John McGiver', '']","A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.",$44.79M,['John Schlesinger']
Pieces of a Woman,Drama            ,126 min,18,7,"['Vanessa Kirby, ', 'Shia LaBeouf, ', 'Ellen Burstyn, ', 'Iliza Shlesinger', '']","When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.","53,463",['Kornél Mundruczó']
Pearson,Drama            ,42 min,,6.8,"['Gina Torres, ', 'Bethany Joy Lenz, ', 'Simon Kassianides, ', 'Eli Goree', '']",Attorney Jessica Pearson enters the complex and seedy world of Chicago politics.,"2,501",
The Kerala Story,Drama            ,138 min,A,7.2,"['Adah Sharma, ', 'Yogita Bihani, ', 'Sonia Balani, ', 'Siddhi Idnani', '']","A converted Muslim woman Fatima Ba narrates her ordeal of how she once wanted to become a nurse but was abducted from her home and manipulated by religious vanguards, turned into an ISIS terrorist and landed in Afghanistan jail.","64,354",
The Affair,Drama            ,60 min,18+,7.9,"['Dominic West, ', 'Ruth Wilson, ', 'Maura Tierney, ', 'Julia Goldani Telles', '']",A struggling novelist and a young waitress strike up an extramarital relationship that promises to forever change the course of their lives.,"47,713",
Disobedience,Drama            ,114 min,All,6.6,"['Rachel Weisz, ', 'Rachel McAdams, ', 'Alessandro Nivola, ', 'Anton Lesser', '']","A woman returns to her Orthodox Jewish community that shunned her for her attraction to a female childhood friend. Once back, their passions reignite as they explore the boundaries of faith and sexuality.",$3.48M,['Sebastián Lelio']
Jules,Drama            ,90 min,PG-13,8.6,"['Ben Kingsley, ', 'Harriet Sansom Harris, ', 'Zoe Winters, ', 'Jane Curtin', '']","Milton lives a quiet life of routine in a small western Pennsylvania town, but finds his day upended when a UFO and its extra-terrestrial passenger crash land in his backyard.",41,['Marc Turtletaub']
No Escape,Drama            ,,,6.8,"['Rhianne Barreto, ', 'Abigail Lawrie, ', 'Colette Dalal Tchantcho, ', 'Sean Keenan', '']","When a yacht is found adrift in the seas around Queensland, Australia- the galley fully stocked with plenty of food and everyone's personal items but with nobody onboard police launch an investigation.",710,
Reign,Drama            ,42 min,16,7.4,"['Adelaide Kane, ', 'Megan Follows, ', 'Celina Sinden, ', 'Torrance Coombs', '']","Mary, Queen of Scots, faces political and sexual intrigue in the treacherous world of the French court.","52,258",
What's Eating Gilbert Grape,Drama            ,118 min,U,7.7,"['Johnny Depp, ', 'Leonardo DiCaprio, ', 'Juliette Lewis, ', 'Mary Steenburgen', '']",A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,$9.17M,['Lasse Hallström']
A Teacher,Drama            ,248 min,A,6.9,"['Kate Mara, ', 'Nick Robinson, ', 'Ashley Zukerman, ', 'Rya Kihlstedt', '']",A new teacher finds herself falling for one of her students.,"14,409",
Detachment,Drama            ,98 min,,7.7,"['Adrien Brody, ', 'Christina Hendricks, ', 'Marcia Gay Harden, ', 'Lucy Liu', '']",A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.,$0.07M,['Tony Kaye']
Nip/Tuck,Drama            ,44 min,,7.7,"['Dylan Walsh, ', 'Julian McMahon, ', 'Joely Richardson, ', 'John Hensley', '']",Two plastic surgeons--one a dedicated family man and one an unscrupulous playboy--strive to maintain their business whilst having to work their way through numerous hardships ranging from personal to clients with criminal connections.,"57,466",
The Florida Project,Drama            ,111 min,A,7.6,"['Brooklynn Prince, ', 'Bria Vinaite, ', 'Willem Dafoe, ', 'Christopher Rivera', '']","Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",$5.90M,['Sean Baker']
Shame,Drama            ,101 min,(Banned),7.2,"['Michael Fassbender, ', 'Carey Mulligan, ', 'James Badge Dale, ', 'Lucy Walters', '']",A sex addict's carefully cultivated private life falls apart after his sister arrives for an indefinite stay.,$4.00M,['Steve McQueen']
Boyhood,Drama            ,165 min,A,7.9,"['Ellar Coltrane, ', 'Patricia Arquette, ', 'Ethan Hawke, ', 'Elijah Smith', '']","The life of Mason, from early childhood to his arrival at college.",$25.38M,['Richard Linklater']
The Starling Girl,Drama            ,117 min,R,6.7,"['Eliza Scanlen, ', 'Lewis Pullman, ', 'Jimmi Simpson, ', 'Wrenn Schmidt', '']",17-year-old Jem Starling struggles with her place within her Christian fundamentalist community. But everything changes when her magnetic youth pastor Owen returns to their church.,901,['Laurel Parmet']
The Girlfriend Experience,Drama            ,27 min,18,7,"['Riley Keough, ', 'Paul Sparks, ', 'Julia Goldani Telles, ', 'Mary Lynn Rajskub', '']","Explores the relationships between exclusive escorts and their clients, for whom they provide far more than just sex. Known as GFEs, they are women who provide emotional and sexual relationships at a very high price.","11,361",
The Passion of the Christ: Resurrection,Drama            ,,,,"['Jim Caviezel, ', 'Maia Morgenstern, ', 'Francesco De Vito', '']",A sequel to The Passion of the Christ (2004) focuses on the events that occurred three days between the crucifixion and resurrection when Jesus Christ descended to Abraham's Bosom to preach and resurrect Old Testament saints.,,['Mel Gibson']
